ID,IATA,ICAO,name
1364,MEN,LFNB,Mende-Brenoux Airfield
1365,,LFNH,Carpentras Airport
1366,,LFOA,Avord (BA 702) Air Base
1367,BVA,LFOB,Paris Beauvais Tillé Airport
1368,,LFOC,Châteaudun (BA 279) Air Base
1369,,LFOD,Saumur-Saint-Florent Airport
1370,EVX,LFOE,Évreux-Fauville (BA 105) Air Base
1371,LEH,LFOH,Le Havre Octeville Airport
1372,XAB,LFOI,Abbeville
1373,ORE,LFOJ,Orléans-Bricy (BA 123) Air Base
1374,XCR,LFOK,Châlons-Vatry Airport
1375,URO,LFOP,Rouen Airport
1376,TUF,LFOT,Tours-Val-de-Loire Airport
1377,CET,LFOU,Cholet Le Pontreau Airport
1378,LVA,LFOV,Laval-Entrammes Airport
1379,,LFOZ,Orléans-Saint-Denis-de-l'Hôtel Airport
1380,LBG,LFPB,Paris-Le Bourget Airport
1381,CSF,LFPC,Creil Air Base
1382,CDG,LFPG,Charles de Gaulle International Airport
1383,,LFPK,Coulommiers-Voisins Airport
1384,,LFPM,Melun-Villaroche Air Base
1385,TNF,LFPN,Toussus-le-Noble Airport
1386,ORY,LFPO,Paris-Orly Airport
1387,POX,LFPT,Pontoise - Cormeilles-en-Vexin Airport
1388,VIY,LFPV,Villacoublay-Vélizy (BA 107) Air Base
1389,,LFQA,Reims-Prunay Airport
1390,,LFQB,Troyes-Barberey Airport
1391,,LFQC,Lunéville-Croismare Airport
1392,,LFQE,Étain-Rouvres Air Base
1393,,LFQF,Autun-Bellevue Airport
1394,NVS,LFQG,Nevers-Fourchambault Airport
1395,,LFQI,Cambrai-Épinoy (BA 103) Air Base
1396,XME,LFQJ,Maubeuge-Élesmes Airport
1397,,LFQM,Besançon-La Vèze Airport
1398,,LFQP,Phalsbourg-Bourscheid Air Base
1399,LIL,LFQQ,Lille-Lesquin Airport
1400,HZB,LFQT,Merville-Calonne Airport
1401,XCZ,LFQV,Charleville-Mézières Airport
1402,,LFQW,Vesoul-Frotey Airport
1403,BES,LFRB,Brest Bretagne Airport
1404,CER,LFRC,Cherbourg-Maupertus Airport
1405,DNR,LFRD,Dinard-Pleurtuit-Saint-Malo Airport
1406,LBY,LFRE,La Baule-Escoublac Airport
1407,GFR,LFRF,Granville Airport
1408,DOL,LFRG,Deauville-Saint-Gatien Airport
1409,LRT,LFRH,Lorient South Brittany (Bretagne Sud) Airport
1410,EDM,LFRI,La Roche-sur-Yon Airport
1411,LDV,LFRJ,Landivisiau Air Base
1412,CFR,LFRK,Caen-Carpiquet Airport
1413,,LFRL,Lanvéoc-Poulmic Air Base
1414,LME,LFRM,Le Mans-Arnage Airport
1415,RNS,LFRN,Rennes-Saint-Jacques Airport
1416,LAI,LFRO,Lannion-Côte de Granit Airport
1417,UIP,LFRQ,Quimper-Cornouaille Airport
1418,NTE,LFRS,Nantes Atlantique Airport
1419,SBK,LFRT,Saint-Brieuc-Armor Airport
1420,MXN,LFRU,Morlaix-Ploujean Airport
1421,VNE,LFRV,Vannes-Meucon Airport
1422,SNR,LFRZ,Saint-Nazaire-Montoir Airport
1423,BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport
1424,,LFSC,Colmar-Meyenheim Air Base
1425,DIJ,LFSD,Dijon-Bourgogne Airport
1426,MZM,LFSF,Metz-Frescaty (BA 128) Air Base
1427,EPL,LFSG,Épinal-Mirecourt Airport
1428,,LFSH,Haguenau Airport
1429,,LFSI,Saint-Dizier-Robinson (BA 113) Air Base
1430,,LFSM,Montbéliard-Courcelles Airfield
1431,ENC,LFSN,Nancy-Essey Airport
1432,,LFSO,Nancy-Ochey (BA 133) Air Base
1433,,LFSP,Pontarlier Airport
1434,RHE,LFSR,Reims-Champagne (BA 112) Air Base
1435,SXB,LFST,Strasbourg Airport
1436,,LFSX,Luxeuil-Saint-Sauveur (BA 116) Air Base
1437,,LFTF,Cuers-Pierrefeu Airport
1438,TLN,LFTH,Toulon-Hyères Airport
1439,FNI,LFTW,Nîmes-Arles-Camargue Airport
1440,MQC,LFVM,Miquelon Airport
1441,FSP,LFVP,St Pierre Airport
1442,,LFXA,Ambérieu Air Base (BA 278)
1443,,LFYD,Damblain Airport
1444,PYR,LGAD,Andravida Air Base
1445,AGQ,LGAG,Agrinion Air Base
1446,AXD,LGAL,Dimokritos Airport
1447,,LGAX,Alexandria Airport
1448,VOL,LGBL,Nea Anchialos Airport
1449,,LGEL,Elefsis Airport
1450,JKH,LGHI,Chios Island National Airport
1451,IOA,LGIO,Ioannina Airport
1452,HER,LGIR,Heraklion International Nikos Kazantzakis Airport
1453,KSO,LGKA,Kastoria National Airport
1454,KIT,LGKC,Kithira Airport
1455,EFL,LGKF,Kefallinia Airport
1456,KLX,LGKL,Kalamata Airport
1457,,LGKM,Amigdhaleon Airport
1458,KGS,LGKO,Kos Airport
1459,AOK,LGKP,Karpathos Airport
1460,CFU,LGKR,Ioannis Kapodistrias International Airport
1461,KSJ,LGKS,Kasos Airport
1462,KVA,LGKV,Alexander the Great International Airport
1463,KZI,LGKZ,Filippos Airport
1464,LRS,LGLE,Leros Airport
1465,LXS,LGLM,Limnos Airport
1466,LRA,LGLR,Larisa Airport
1467,,LGMG,Megara Airport
1468,JMK,LGMK,Mikonos Airport
1469,MJT,LGMT,Mytilene International Airport
1470,PVK,LGPZ,Aktion National Airport
1471,,LGRD,Maritsa Airport
1472,RHO,LGRP,Diagoras Airport
1473,GPA,LGRX,Araxos Airport
1474,CHQ,LGSA,Chania International Airport
1475,JSI,LGSK,Skiathos Island National Airport
1476,SMI,LGSM,Samos Airport
1478,SPJ,LGSP,Sparti Airport
1479,JTR,LGSR,Santorini Airport
1480,JSH,LGST,Sitia Airport
1481,,LGSV,Stefanovikion Air Base
1482,SKU,LGSY,Skiros Airport
1483,,LGTG,Tanagra Air Base
1484,,LGTL,Kasteli Airport
1485,,LGTP,Tripolis Airport
1486,SKG,LGTS,Thessaloniki Macedonia International Airport
1487,,LGTT,Tatoi Airport
1488,ZTH,LGZA,"Zakynthos International Airport ""Dionysios Solomos"""
1489,BUD,LHBP,Budapest Liszt Ferenc International Airport
1490,DEB,LHDC,Debrecen International Airport
1491,,LHKE,Kecskemét Airport
1492,,LHNY,Nyíregyháza Airport
1493,,LHOY,Őcsény Airport
1496,,LHSA,Szentkirályszabadja Airport
1498,,LHSN,Szolnok Air Base
1499,,LIBA,Amendola Air Base
1500,CRV,LIBC,Crotone Airport
1501,BRI,LIBD,Bari Karol Wojtyła Airport
1502,FOG,LIBF,"Foggia ""Gino Lisa"" Airport"
1503,TAR,LIBG,"Taranto-Grottaglie ""Marcello Arlotta"" Airport"
1504,LCC,LIBN,Lecce Galatina Air Base
1505,PSR,LIBP,Pescara International Airport
1506,BDS,LIBR,Brindisi – Salento Airport
1507,,LIBV,Gioia Del Colle Air Base
1508,SUF,LICA,Lamezia Terme Airport
1509,CTA,LICC,Catania-Fontanarossa Airport
1510,LMP,LICD,Lampedusa Airport
1511,PNL,LICG,Pantelleria Airport
1512,PMO,LICJ,Falcone–Borsellino Airport
1513,,LICP,Palermo-Boccadifalco Airport
1514,REG,LICR,Reggio Calabria Airport
1515,TPS,LICT,Vincenzo Florio Airport Trapani-Birgi
1516,NSY,LICZ,Sigonella Navy Air Base
1517,AHO,LIEA,Alghero-Fertilia Airport
1518,DCI,LIED,Decimomannu Air Base
1519,CAG,LIEE,Cagliari Elmas Airport
1520,OLB,LIEO,Olbia Costa Smeralda Airport
1521,TTB,LIET,Tortolì Airport
1522,,LIMA,Torino-Aeritalia Airport
1523,,LIMB,Milano-Bresso Airfield
1524,MXP,LIMC,Malpensa International Airport
1525,BGY,LIME,Il Caravaggio International Airport
1526,TRN,LIMF,Turin Airport
1527,ALL,LIMG,Villanova D'Albenga International Airport
1528,GOA,LIMJ,Genoa Cristoforo Colombo Airport
1529,LIN,LIML,Milano Linate Airport
1530,,LIMN,Cameri Air Base [MIL]
1531,PMF,LIMP,Parma Airport
1532,,LIMS,Piacenza San Damiano Air Base
1534,CUF,LIMZ,Cuneo International Airport
1535,AVB,LIPA,Aviano Air Base
1536,BZO,LIPB,Bolzano Airport
1537,,LIPC,Cervia Air Base
1538,BLQ,LIPE,Bologna Guglielmo Marconi Airport
1539,TSF,LIPH,Treviso-Sant'Angelo Airport
1540,,LIPI,Rivolto Air Base
1541,FRL,LIPK,Forlì Airport
1542,,LIPL,Ghedi Air Base
1543,,LIPN,Verona-Boscomantico Airport
1544,VBS,LIPO,Brescia Airport
1545,TRS,LIPQ,Trieste–Friuli Venezia Giulia Airport
1546,RMI,LIPR,Federico Fellini International Airport
1547,,LIPS,Istrana Air Base
1548,VIC,LIPT,Vicenza Airport
1549,QPA,LIPU,Padova Airport
1550,VRN,LIPX,Verona Villafranca Airport
1551,VCE,LIPZ,Venice Marco Polo Airport
1552,SAY,LIQS,Siena-Ampugnano Airport
1553,CIA,LIRA,Ciampino–G. B. Pastine International Airport
1554,,LIRE,Pratica Di Mare Air Base
1555,FCO,LIRF,Leonardo da Vinci–Fiumicino Airport
1556,,LIRG,Guidonia Air Base
1558,EBA,LIRJ,Marina Di Campo Airport
1559,QLT,LIRL,Latina Air Base
1560,,LIRM,Grazzanise Air Base
1561,NAP,LIRN,Naples International Airport
1562,PSA,LIRP,Pisa International Airport
1563,FLR,LIRQ,Peretola Airport
1564,GRS,LIRS,Grosseto Air Base
1565,,LIRU,Urbe Airport
1566,,LIRV,Viterbo Airport
1567,PEG,LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport
1568,,LJCE,Cerklje Airport
1569,LJU,LJLJ,Ljubljana Jože Pučnik Airport
1570,MBX,LJMB,Maribor Airport
1571,POW,LJPZ,Portoroz Airport
1572,,LJSG,Slovenj Gradec Airport
1573,,LKCS,České Budějovice Airport
1574,,LKCV,Čáslav Air Base
1575,,LKHK,Hradec Králové Airport
1576,,LKHV,Hořovice Airport
1577,,LKKB,Kbely Air Base
1578,UHE,LKKU,Kunovice Airport
1579,KLV,LKKV,Karlovy Vary International Airport
1580,,LKLN,Plzeň-Líně Airport
1581,,LKMH,Mnichovo Hradiště Airport
1582,OSR,LKMT,Ostrava Leos Janáček Airport
1583,,LKNA,Náměšť Air Base
1584,PED,LKPD,Pardubice Airport
1585,,LKPM,Pribram Airport
1586,PRV,LKPO,Přerov Air Base
1587,PRG,LKPR,Václav Havel Airport Prague
1588,BRQ,LKTB,Brno-Tuřany Airport
1589,VOD,LKVO,Vodochody Airport
1590,TLV,LLBG,Ben Gurion International Airport
1591,BEV,LLBS,Beersheba (Teyman) Airport
1592,,LLEK,Tel Nof Air Base
1593,,LLES,Ein Shemer Airfield
1594,ETH,LLET,Eilat Airport
1595,EIY,LLEY,Ein Yahav Airfield
1596,HFA,LLHA,Haifa International Airport
1597,,LLHS,Hatzor Air Base
1598,RPN,LLIB,Ben Ya'akov Airport
1599,,LLMG,Megiddo Airport
1600,MTZ,LLMZ,Bar Yehuda Airfield
1601,VTM,LLNV,Nevatim Air Base
1602,VDA,LLOV,Ovda International Airport
1603,,LLRD,Ramat David Air Base
1604,MIP,LLRM,Ramon Air Base
1605,SDV,LLSD,Sde Dov Airport
1606,MLA,LMML,Malta International Airport
1607,,LOAN,Wiener Neustadt East Airport
1608,,LOLW,Wels Airport
1609,GRZ,LOWG,Graz Airport
1610,INN,LOWI,Innsbruck Airport
1611,LNZ,LOWL,Linz Hörsching Airport
1612,SZG,LOWS,Salzburg Airport
1613,VIE,LOWW,Vienna International Airport
1615,,LOXZ,Hinterstoisser Air Base
1616,AVR,LPAR,Alverca Air Base
1617,SMA,LPAZ,Santa Maria Airport
1618,BGC,LPBG,Bragança Airport
1619,BYJ,LPBJ,Beja Airport / Airbase
1620,BGZ,LPBR,Braga Municipal Aerodrome
1621,,LPCO,Aerodromo Municipal de Coimbra
1622,CAT,LPCS,Cascais Airport
1623,,LPCV,Coimbra Hospital Covões Heliport
1624,,LPEV,Évora Airport
1625,FLW,LPFL,Flores Airport
1626,FAO,LPFR,Faro Airport
1627,GRW,LPGR,Graciosa Airport
1628,HOR,LPHR,Horta Airport
1629,TER,LPLA,Lajes Airport
1630,QLR,LPMR,Monte Real Air Base
1631,,LPMT,Montijo Air Base
1632,,LPOV,Ovar Air Base
1633,PDL,LPPD,João Paulo II Airport
1634,PIX,LPPI,Pico Airport
1635,PRM,LPPM,Portimão Airport
1636,OPO,LPPR,Francisco de Sá Carneiro Airport
1637,PXO,LPPS,Porto Santo Airport
1638,LIS,LPPT,Humberto Delgado Airport (Lisbon Portela Airport)
1639,SJZ,LPSJ,São Jorge Airport
1640,,LPST,Sintra Air Base
1641,,LPTN,Tancos Airbase
1642,VRL,LPVR,Vila Real Airport
1643,VSE,LPVZ,Aerodromo Goncalves Lobato (Viseu Airport)
1645,OMO,LQMO,Mostar International Airport
1646,SJJ,LQSA,Sarajevo International Airport
1647,ARW,LRAR,Arad International Airport
1648,BCM,LRBC,Bacău Airport
1649,BAY,LRBM,Tautii Magheraus Airport
1650,BBU,LRBS,Băneasa International Airport
1651,CND,LRCK,Mihail Kogălniceanu International Airport
1652,CLJ,LRCL,Cluj-Napoca International Airport
1653,CSB,LRCS,Caransebeş Airport
1654,CRA,LRCV,Craiova Airport
1655,IAS,LRIA,Iaşi Airport
1656,OMR,LROD,Oradea International Airport
1657,OTP,LROP,Henri Coandă International Airport
1658,SBZ,LRSB,Sibiu International Airport
1659,SUJ,LRSM,Satu Mare Airport
1660,SCV,LRSV,Suceava Stefan cel Mare Airport
1661,TCE,LRTC,Tulcea Airport
1662,TGM,LRTM,Transilvania Târgu Mureş International Airport
1663,TSR,LRTR,Timişoara Traian Vuia Airport
1664,,LSGC,Les Eplatures Airport
1665,GVA,LSGG,Geneva Cointrin International Airport
1666,,LSGK,Saanen Airport
1667,SIR,LSGS,Sion Airport
1668,,LSMA,Alpnach Air Base
1669,,LSMD,Dübendorf Air Base
1670,EML,LSME,Emmen Air Base
1671,,LSMF,Mollis Airport
1672,,LSMM,Meiringen Airport
1673,,LSMP,Payerne Air Base
1675,LUG,LSZA,Lugano Airport
1676,BRN,LSZB,Bern Belp Airport
1677,ZHI,LSZG,Grenchen Airport
1678,ZRH,LSZH,Zürich Airport
1679,ACH,LSZR,St Gallen Altenrhein Airport
1680,SMV,LSZS,Samedan Airport
1681,,LTAB,Güvercinlik Airport
1682,ESB,LTAC,Esenboğa International Airport
1683,ANK,LTAD,Etimesgut Air Base
1684,,LTAE,Akıncı Air Base
1685,ADA,LTAF,Adana Airport
1686,UAB,LTAG,İncirlik Air Base
1687,AFY,LTAH,Afyon Airport
1688,AYT,LTAI,Antalya International Airport
1689,GZT,LTAJ,Gaziantep International Airport
1690,,LTAK,İskenderun Airport
1691,KYA,LTAN,Konya Airport
1692,,LTAO,Malatya Tulga Airport
1693,MZH,LTAP,Amasya Merzifon Airport
1694,VAS,LTAR,Sivas Nuri Demirağ Airport
1695,MLX,LTAT,Malatya Erhaç Airport
1696,ASR,LTAU,Kayseri Erkilet Airport
1697,,LTAV,Sivrihisar Airport
1698,TJK,LTAW,Tokat Airport
1699,DNZ,LTAY,Çardak Airport
1701,ISL,LTBA,Atatürk International Airport
1702,BZI,LTBF,Balıkesir Merkez Airport
1703,BDM,LTBG,Bandırma Airport
1705,ESK,LTBI,Eskişehir Air Base
1706,ADB,LTBJ,Adnan Menderes International Airport
1707,,LTBK,Gaziemir Airport
1708,IGL,LTBL,Çiğli Airport
1709,,LTBM,Isparta Airport
1710,,LTBN,Kütahya Airport
1712,,LTBP,Yalova Airport
1713,KCO,LTBQ,Cengiz Topel Airport
1715,DLM,LTBS,Dalaman International Airport
1716,,LTBT,Akhisar Airport
1718,BXN,LTBV,Imsık Airport
1719,,LTBX,Samandıra Air Base
1721,EZS,LTCA,Elazığ Airport
1722,DIY,LTCC,Diyarbakir Airport
1723,ERC,LTCD,Erzincan Airport
1724,ERZ,LTCE,Erzurum International Airport
1726,TZX,LTCG,Trabzon International Airport
1728,VAN,LTCI,Van Ferit Melen Airport
1729,BAL,LTCJ,Batman Airport
1731,SXZ,LTCL,Siirt Airport
1732,,LTFA,Kaklıç Airport
1733,,LTFB,Selçuk Efes Airport
1734,BZY,LUBL,Bălți International Airport
1735,KIV,LUKK,Chişinău International Airport
1736,OHD,LWOH,Ohrid St. Paul the Apostle Airport
1737,SKP,LWSK,Skopje Alexander the Great Airport
1738,GIB,LXGB,Gibraltar Airport
1739,BEG,LYBE,Belgrade Nikola Tesla Airport
1740,INI,LYNI,Nis Airport
1741,TGD,LYPG,Podgorica Airport
1742,PRN,BKPR,Priština International Airport
1743,TIV,LYTV,Tivat Airport
1744,,LYVR,Vršac International Airport
1745,BTS,LZIB,M. R. Štefánik Airport
1746,KSC,LZKZ,Košice Airport
1747,,LZMC,Kuchyňa Air Base
1748,PZY,LZPP,Piešťany Airport
1749,SLD,LZSL,Sliač Airport
1750,,LZTN,Trenčín Airport
1751,TAT,LZTT,Poprad-Tatry Airport
1753,NCA,MBNC,North Caicos Airport
1754,PLS,MBPV,Providenciales Airport
1755,XSC,MBSC,South Caicos Airport
1756,,MDAB,Arroyo Barril Airport
1757,BRX,MDBH,Maria Montez International Airport
1758,CBJ,MDCR,Cabo Rojo Airport
1759,LRM,MDLR,Casa De Campo International Airport
1760,PUJ,MDPC,Punta Cana International Airport
1761,POP,MDPP,Gregorio Luperon International Airport
1762,SDQ,MDSD,Las Américas International Airport
1763,,MDSI,San Isidro Air Base
1764,STI,MDST,Cibao International Airport
1765,,MGBN,Bananera Airport
1766,CBV,MGCB,Coban Airport
1767,GUA,MGGT,La Aurora Airport
1769,RER,MGRT,Retalhuleu Airport
1770,GSJ,MGSJ,San José Airport
1771,LCE,MHLC,Goloson International Airport
1772,SAP,MHLM,Ramón Villeda Morales International Airport
1773,GJA,MHNJ,La Laguna Airport
1774,RTB,MHRO,Juan Manuel Galvez International Airport
1775,TEA,MHTE,Tela Airport
1776,TGU,MHTG,Toncontín International Airport
1777,TJI,MHTJ,Trujillo Airport
1778,OCJ,MKBS,Boscobel Aerodrome
1779,KIN,MKJP,Norman Manley International Airport
1780,MBJ,MKJS,Sangster International Airport
1781,POT,MKKJ,Ken Jones Airport
1782,KTP,MKTP,Tinson Pen Airport
1783,ACA,MMAA,General Juan N Alvarez International Airport
1784,NTR,MMAN,Del Norte International Airport
1785,AGU,MMAS,Jesús Terán Paredo International Airport
1786,HUX,MMBT,Bahías de Huatulco International Airport
1787,CVJ,MMCB,General Mariano Matamoros Airport
1788,ACN,MMCC,Ciudad Acuña New International Airport
1789,CME,MMCE,Ciudad del Carmen International Airport
1790,NCG,MMCG,Nuevo Casas Grandes Airport
1791,,MMCH,Chilpancingo Airport
1792,CUL,MMCL,Bachigualato Federal International Airport
1793,CTM,MMCM,Chetumal International Airport
1794,CEN,MMCN,Ciudad Obregón International Airport
1795,CPE,MMCP,Ingeniero Alberto Acuña Ongay International Airport
1796,CJS,MMCS,Abraham González International Airport
1797,CUU,MMCU,General Roberto Fierro Villalobos International Airport
1798,CVM,MMCV,General Pedro Jose Mendez International Airport
1800,CZM,MMCZ,Cozumel International Airport
1801,DGO,MMDO,General Guadalupe Victoria International Airport
1802,TPQ,MMEP,Amado Nervo National Airport
1803,ESE,MMES,Ensenada International Airport
1804,GDL,MMGL,Don Miguel Hidalgo Y Costilla International Airport
1805,GYM,MMGM,General José María Yáñez International Airport
1806,TCN,MMHC,Tehuacan Airport
1807,HMO,MMHO,General Ignacio P. Garcia International Airport
1808,CLQ,MMIA,Licenciado Miguel de la Madrid Airport
1809,ISJ,MMIM,Isla Mujeres Airport
1810,SLW,MMIO,Plan De Guadalupe International Airport
1811,IZT,MMIT,Ixtepec Airport
1813,LZC,MMLC,Lázaro Cárdenas Airport
1814,LMM,MMLM,Valle del Fuerte International Airport
1815,BJX,MMLO,Del Bajío International Airport
1816,LAP,MMLP,Manuel Márquez de León International Airport
1817,LTO,MMLT,Loreto International Airport
1818,MAM,MMMA,General Servando Canales International Airport
1819,MID,MMMD,Licenciado Manuel Crescencio Rejon Int Airport
1820,MXL,MMML,General Rodolfo Sánchez Taboada International Airport
1821,MLM,MMMM,General Francisco J. Mujica International Airport
1822,MTT,MMMT,Minatitlán/Coatzacoalcos National Airport
1823,LOV,MMMV,Monclova International Airport
1824,MEX,MMMX,Licenciado Benito Juarez International Airport
1825,MTY,MMMY,General Mariano Escobedo International Airport
1826,MZT,MMMZ,General Rafael Buelna International Airport
1827,NOG,MMNG,Nogales International Airport
1828,NLD,MMNL,Quetzalcóatl International Airport
1829,OAX,MMOX,Xoxocotlán International Airport
1830,PAZ,MMPA,El Tajín National Airport
1831,PBC,MMPB,Hermanos Serdán International Airport
1832,,MMPC,Ingeniero Juan Guillermo Villasana Airport
1833,PPE,MMPE,Mar de Cortés International Airport
1834,PDS,MMPG,Piedras Negras International Airport
1835,UPN,MMPN,Licenciado y General Ignacio Lopez Rayon Airport
1836,PVR,MMPR,Licenciado Gustavo Díaz Ordaz International Airport
1837,PXM,MMPS,Puerto Escondido International Airport
1838,QRO,MMQT,Querétaro Intercontinental Airport
1839,REX,MMRX,General Lucio Blanco International Airport
1840,SJD,MMSD,Los Cabos International Airport
1841,SFH,MMSF,San Felipe International Airport
1842,SLP,MMSP,Ponciano Arriaga International Airport
1843,,MMTA,Tlaxcala Airport
1844,,MMTB,Terán Air Base
1845,TRC,MMTC,Francisco Sarabia International Airport
1846,TGZ,MMTG,Angel Albino Corzo International Airport
1847,TIJ,MMTJ,General Abelardo L. Rodríguez International Airport
1848,TAM,MMTM,General Francisco Javier Mina International Airport
1849,TSL,MMTN,Tamuin Airport
1850,TLC,MMTO,Licenciado Adolfo Lopez Mateos International Airport
1851,TAP,MMTP,Tapachula International Airport
1852,CUN,MMUN,Cancún International Airport
1853,VSA,MMVA,Carlos Rovirosa Pérez International Airport
1854,VER,MMVR,General Heriberto Jara International Airport
1855,ZCL,MMZC,General Leobardo C. Ruiz International Airport
1856,ZIH,MMZH,Ixtapa Zihuatanejo International Airport
1857,ZMM,MMZM,Zamora Airport
1858,ZLO,MMZO,Playa De Oro International Airport
1859,,MMZP,Zapopan Airport
1860,BEF,MNBL,Bluefields Airport
1861,,MNBR,Los Brasiles Airport
1862,,MNLN,Leon (Fanor Urroz) Airport
1863,MGA,MNMG,Augusto C. Sandino (Managua) International Airport
1864,PUZ,MNPC,Puerto Cabezas Airport
1865,BOC,MPBO,Bocas Del Toro International Airport
1866,CHX,MPCH,Cap Manuel Niño International Airport
1867,DAV,MPDA,Enrique Malek International Airport
1868,BLB,MPHO,Panama Pacific International Airport
1869,PAC,MPMG,Marcos A. Gelabert International Airport
1870,SYP,MPSA,Ruben Cantu Airport
1871,PTY,MPTO,Tocumen International Airport
1872,BAI,MRBA,Buenos Aires Airport
1874,OTR,MRCC,Coto 47 Airport
1875,JAP,MRCH,Chacarita Airport
1877,,MREC,El Carmen de Siquirres Airport
1878,,MRFI,Finca 10 / Nuevo Palmar Sur Airport
1879,GLF,MRGF,Golfito Airport
1880,GPL,MRGP,Guapiles Airport
1881,LIR,MRLB,Daniel Oduber Quiros International Airport
1882,LSL,MRLC,Los Chiles Airport
1883,LIO,MRLM,Limon International Airport
1884,NOB,MRNS,Nosara Airport
1885,SJO,MROC,Juan Santamaria International Airport
1886,,MRPD,Pandora Airport
1887,PMZ,MRPM,Palmar Sur Airport
1889,XQP,MRQP,Quepos Managua Airport
1890,,MRSG,Santa Clara De Guapiles Airport
1891,TOO,MRSV,San Vito De Java Airport
1892,SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport
1893,,MSSS,Ilopango International Airport
1894,CYA,MTCA,Les Cayes Airport
1895,CAP,MTCH,Cap Haitien International Airport
1896,JAK,MTJA,Jacmel Airport
1897,PAP,MTPP,Toussaint Louverture International Airport
1898,BCA,MUBA,Gustavo Rizo Airport
1899,BYM,MUBY,Carlos Manuel de Cespedes Airport
1900,AVI,MUCA,Maximo Gomez Airport
1901,CCC,MUCC,Jardines Del Rey Airport
1902,CFG,MUCF,Jaime Gonzalez Airport
1903,CYO,MUCL,Vilo Acuña International Airport
1904,CMW,MUCM,Ignacio Agramonte International Airport
1905,SCU,MUCU,Antonio Maceo International Airport
1906,,MUFL,Florida Airport
1907,NBW,MUGM,Leeward Point Field
1908,GAO,MUGT,Mariana Grajales Airport
1909,HAV,MUHA,José Martí International Airport
1910,HOG,MUHG,Frank Pais International Airport
1911,LCL,MULM,La Coloma Airport
1912,MOA,MUMO,Orestes Acosta Airport
1913,MZO,MUMZ,Sierra Maestra Airport
1914,GER,MUNG,Rafael Cabrera Airport
1915,UPB,MUPB,Playa Baracoa Airport
1916,QPD,MUPR,Pinar Del Rio Airport
1917,,MUSA,San Antonio De Los Banos Airport
1918,SNU,MUSC,Abel Santamaria Airport
1919,,MUSL,Joaquín de Agüero Airport
1920,SZJ,MUSN,Siguanea Airport
1921,USS,MUSS,Sancti Spiritus Airport
1923,VRA,MUVR,Juan Gualberto Gomez International Airport
1924,VTU,MUVT,Hermanos Ameijeiras Airport
1925,CYB,MWCB,Gerrard Smith International Airport
1926,GCM,MWCR,Owen Roberts International Airport
1927,MAY,MYAB,Clarence A. Bain Airport
1928,ASD,MYAF,Andros Town Airport
1930,MHH,MYAM,Leonard M Thompson International Airport
1931,SAQ,MYAN,San Andros Airport
1932,AXP,MYAP,Spring Point Airport
1933,,MYAS,Sandy Point Airport
1934,TCB,MYAT,Treasure Cay Airport
1935,CCZ,MYBC,Chub Cay Airport
1936,GHC,MYBG,Great Harbour Cay Airport
1937,BIM,MYBS,South Bimini Airport
1941,GGT,MYEF,Exuma International Airport
1942,,MYEG,George Town Airport
1943,ELH,MYEH,North Eleuthera Airport
1944,GHB,MYEM,Governor's Harbour Airport
1945,NMC,MYEN,Normans Cay Airport
1946,RSD,MYER,Rock Sound Airport
1947,TYM,MYES,Staniel Cay Airport
1948,FPO,MYGF,Grand Bahama International Airport
1949,IGA,MYIG,Inagua Airport
1950,LGI,MYLD,Deadman's Cay Airport
1951,SML,MYLS,Stella Maris Airport
1952,MYG,MYMM,Mayaguana Airport
1953,NAS,MYNN,Lynden Pindling International Airport
1954,DCT,MYRD,Duncan Town Airport
1955,RCY,MYRP,Rum Cay Airport
1956,ZSA,MYSM,San Salvador Airport
1957,BZE,MZBZ,Philip S. W. Goldson International Airport
1958,AIT,NCAI,Aitutaki Airport
1959,RAR,NCRG,Rarotonga International Airport
1960,NAN,NFFN,Nadi International Airport
1961,SUV,NFNA,Nausori International Airport
1963,TBU,NFTF,Fua'amotu International Airport
1964,VAV,NFTV,Vava'u International Airport
1965,TRW,NGTA,Bonriki International Airport
1966,TBF,NGTE,Tabiteuea North Airport
1968,WLS,NLWW,Hihifo Airport
1969,APW,NSFA,Faleolo International Airport
1970,PPG,NSTU,Pago Pago International Airport
1971,RUR,NTAR,Rurutu Airport
1972,TUB,NTAT,Tubuai Airport
1973,AAA,NTGA,Anaa Airport
1974,FGU,NTGB,Fangatau Airport
1975,TIH,NTGC,Tikehau Airport
1976,REA,NTGE,Reao Airport
1977,FAV,NTGF,Fakarava Airport
1978,XMH,NTGI,Manihi Airport
1979,GMR,NTGJ,Totegegie Airport
1980,KKR,NTGK,Kaukura Airport
1981,MKP,NTGM,Makemo Airport
1982,PKP,NTGP,Puka Puka Airport
1983,TKP,NTGT,Takapoto Airport
1984,AXR,NTGU,Arutua Airport
1985,MVT,NTGV,Mataiva Airport
1986,TKX,NTKR,Takaroa Airport
1987,NHV,NTMD,Nuku Hiva Airport
1989,BOB,NTTB,Bora Bora Airport
1990,RGI,NTTG,Rangiroa Airport
1991,HUH,NTTH,Huahine-Fare Airport
1992,MOZ,NTTM,Moorea Airport
1993,HOI,NTTO,Hao Airport
