ID,IATA,ICAO,name
144,YTZ,CYTZ,Billy Bishop Toronto City Centre Airport
145,YUB,CYUB,Tuktoyaktuk Airport
146,YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport
147,YUT,CYUT,Repulse Bay Airport
148,YUX,CYUX,Hall Beach Airport
149,YUY,CYUY,Rouyn Noranda Airport
150,YVC,CYVC,La Ronge Airport
151,YVG,CYVG,Vermilion Airport
152,YVM,CYVM,Qikiqtarjuaq Airport
153,YVO,CYVO,Val-d'Or Airport
154,YVP,CYVP,Kuujjuaq Airport
155,YVQ,CYVQ,Norman Wells Airport
156,YVR,CYVR,Vancouver International Airport
157,YVT,CYVT,Buffalo Narrows Airport
158,YVV,CYVV,Wiarton Airport
159,YWA,CYWA,Petawawa Airport
160,YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport
161,YWK,CYWK,Wabush Airport
162,YWL,CYWL,Williams Lake Airport
163,YWY,CYWY,Wrigley Airport
164,YXC,CYXC,Cranbrook/Canadian Rockies International Airport
165,YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport
166,YXE,CYXE,Saskatoon John G. Diefenbaker International Airport
167,YXH,CYXH,Medicine Hat Airport
168,YXJ,CYXJ,Fort St John Airport
169,YXL,CYXL,Sioux Lookout Airport
170,YXP,CYXP,Pangnirtung Airport
171,YXR,CYXR,Earlton (Timiskaming Regional) Airport
172,YXS,CYXS,Prince George Airport
173,YXT,CYXT,Northwest Regional Airport Terrace-Kitimat
174,YXU,CYXU,London Airport
175,YXX,CYXX,Abbotsford Airport
176,YXY,CYXY,Whitehorse / Erik Nielsen International Airport
177,YYB,CYYB,North Bay Jack Garland Airport
178,YYC,CYYC,Calgary International Airport
179,YYD,CYYD,Smithers Airport
180,YYE,CYYE,Fort Nelson Airport
181,YYF,CYYF,Penticton Airport
182,YYG,CYYG,Charlottetown Airport
183,YYH,CYYH,Taloyoak Airport
184,YYJ,CYYJ,Victoria International Airport
185,YYL,CYYL,Lynn Lake Airport
186,YYN,CYYN,Swift Current Airport
187,YYQ,CYYQ,Churchill Airport
188,YYR,CYYR,Goose Bay Airport
189,YYT,CYYT,St. John's International Airport
190,YYU,CYYU,Kapuskasing Airport
191,YYW,CYYW,Armstrong Airport
192,YYY,CYYY,Mont Joli Airport
193,YYZ,CYYZ,Lester B. Pearson International Airport
194,YZD,CYZD,Downsview Airport
195,YZE,CYZE,Gore Bay Manitoulin Airport
196,YZF,CYZF,Yellowknife Airport
197,YZH,CYZH,Slave Lake Airport
198,YZP,CYZP,Sandspit Airport
199,YZR,CYZR,Chris Hadfield Airport
200,YZT,CYZT,Port Hardy Airport
201,YZU,CYZU,Whitecourt Airport
202,YZV,CYZV,Sept-Îles Airport
203,YZW,CYZW,Teslin Airport
204,YZX,CYZX,CFB Greenwood
205,ZFA,CZFA,Faro Airport
206,ZFM,CZFM,Fort Mcpherson Airport
207,QLD,DAAB,Blida Airport
208,BUJ,DAAD,Bou Saada Airport
209,BJA,DAAE,Soummam Airport
210,ALG,DAAG,Houari Boumediene Airport
211,DJG,DAAJ,Djanet Inedbirene Airport
212,,DAAK,Boufarik Airport
213,,DAAN,Reggane Airport
214,VVZ,DAAP,Illizi Takhamalt Airport
215,,DAAQ,Ain Oussera Airport
216,TMR,DAAT,Aguenar – Hadj Bey Akhamok Airport
217,GJL,DAAV,Jijel Ferhat Abbas Airport
218,MZW,DAAY,Mecheria Airport
219,,DAAZ,Relizane Airport
220,AAE,DABB,Rabah Bitat Airport
221,CZL,DABC,Mohamed Boudiaf International Airport
222,TEE,DABS,Cheikh Larbi Tébessi Airport
224,HRM,DAFH,Hassi R'Mel Airport
225,TID,DAOB,Bou Chekif Airport
226,,DAOE,Bou Sfer Airport
227,TIN,DAOF,Tindouf Airport
228,CFK,DAOI,Ech Cheliff Airport
229,TAF,DAOL,Tafaraoui Airport
230,TLM,DAON,Zenata – Messali El Hadj Airport
231,ORN,DAOO,Es Senia Airport
232,BFW,DAOS,Sidi Bel Abbes Airport
233,MUW,DAOV,Ghriss Airport
234,AZR,DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport
235,BSK,DAUB,Biskra Airport
236,ELG,DAUE,El Golea Airport
237,GHA,DAUG,Noumérat - Moufdi Zakaria Airport
238,HME,DAUH,Oued Irara Airport
239,INZ,DAUI,In Salah Airport
240,TGR,DAUK,Touggourt Sidi Madhi Airport
241,LOO,DAUL,Laghouat Airport
242,TMX,DAUT,Timimoun Airport
243,OGX,DAUU,Ain el Beida Airport
244,IAM,DAUZ,In Aménas Airport
